file_path,speaker_id,accent,transcription,gender
data/audio/processed/libritts/2412_153954_2412_153954_000002_000004.wav,2412,American,"However, I showed no sign of wonder or disapproval; for I remembered that to be all things to all men was one of the injunctions of the Gentile Apostle, which for the present I should do well to heed.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000007_000001.wav,2412,American,"I will spare the reader any description of the town, and would only bid him think of Domodossola or Faido.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000007_000000.wav,2412,American,"In about four hours of walking from the time we started, and after passing two or three more villages, we came upon a considerable town, and my guides made many attempts to make me understand something, but I gathered no inkling of their meaning, except that I need be under no apprehension of danger.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000002_000007.wav,2412,American,"My guides spoke to many in passing, and those spoken to showed much amazement.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000007_000003.wav,2412,American,"In fact, one of them was plainly very much out of health, and coughed violently from time to time in spite of manifest efforts to suppress it.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000002_000006.wav,2412,American,But it was not so.,Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000013_000000.wav,2412,American,"We passed many cases, and at last came to one in which there were several clocks and two or three old watches.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000002_000002.wav,2412,American,"Sometimes we went through forests of pine, or rather yew trees, though they looked like pine; and I remember that now and again we passed a little wayside shrine, wherein there would be a statue of great beauty, representing some figure, male or female, in the very heyday of youth, strength, and beauty, or of the most dignified maturity and old age.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000007_000006.wav,2412,American,"These two were first called out; and in about a quarter of an hour I was made to follow them, which I did in some fear, and with much curiosity.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000002_000003.wav,2412,American,"My hosts always bowed their heads as they passed one of these shrines, and it shocked me to see statues that had no apparent object, beyond the chronicling of some unusual individual excellence or beauty, receive so serious a homage.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000013_000001.wav,2412,American,"Here the magistrate stopped, and opening the case began comparing my watch with the others.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000002_000001.wav,2412,American,"The morning was cold and somewhat foggy, for the autumn had made great strides latterly.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000007_000004.wav,2412,American,"The other looked pale and ill but he was marvellously self-contained, and it was impossible to say what was the matter with him.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000007_000005.wav,2412,American,"Both of them appeared astonished at seeing one who was evidently a stranger, but they were too ill to come up to me, and form conclusions concerning me.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000002_000000.wav,2412,American,"We followed an Alpine path for some four miles, now hundreds of feet above a brawling stream which descended from the glaciers, and now nearly alongside it.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000013_000002.wav,2412,American,"The design was different, but the thing was clearly the same.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000005_000000.wav,2412,American,The men were as handsome as the women beautiful.,Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000003.wav,2412,American,"He appeared more and more puzzled, and then retired, returning with two others much like himself.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000002.wav,2412,American,"He at length asked me a single short question, which I supposed meant ""Who are you?"" I answered in English quite composedly as though he would understand me, and endeavoured to be my very most natural self as well as I could.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000005_000001.wav,2412,American,"I have always delighted in and reverenced beauty; but I felt simply abashed in the presence of such a splendid type-a compound of all that is best in Egyptian, Greek and Italian.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000005_000003.wav,2412,American,"I expressed by signs my admiration and pleasure to my guides, and they were greatly pleased.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000001.wav,2412,American,"He looked me all over for about five minutes, letting his eyes wander from the crown of my head to the soles of my feet, up and down, and down and up; neither did his mind seem in the least clearer when he had done looking than when he began.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000005_000002.wav,2412,American,"The children were infinite in number, and exceedingly merry; I need hardly say that they came in for their full share of the prevailing beauty.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000011_000001.wav,2412,American,He spoke to me solemnly and sternly for two or three minutes.,Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000005.wav,2412,American,"They felt my pulse, they looked at my tongue, they listened at my chest, they felt all my muscles; and at the end of each operation they looked at the chief and nodded, and said something in a tone quite pleasant, as though I were all right.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000011.wav,2412,American,"At least I fancied so, but I soon found my mistake.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000010.wav,2412,American,"This gave me little uneasiness, for I had no money with me, nor anything which they were at all likely to want, or which I cared about losing.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000005_000005.wav,2412,American,"I could fill many pages with a description of their dress and the ornaments which they wore, and a hundred details which struck me with all the force of novelty; but I must not stay to do so.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000006.wav,2412,American,"They even pulled down my eyelids, and looked, I suppose, to see if they were bloodshot; but it was not so.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000012_000001.wav,2412,American,"The larger specimens had a case to themselves, and tickets with writing on them in a character which I could not understand.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000003_000003.wav,2412,American,"It was here as hitherto: all things were generically the same as in Europe, the differences being of species only; and I was amused at seeing in a window some bottles with barley sugar and sweetmeats for children, as at home; but the barley sugar was in plates, not in twisted sticks, and was coloured blue.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000008_000009.wav,2412,American,"As soon as it was ended, they proceeded to overhaul my swag and the contents of my pockets.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000003_000000.wav,2412,American,"The village was just like the one we had left, only rather larger.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000006_000001.wav,2412,American,"The country was highly cultivated, every ledge being planted with chestnuts, walnuts, and apple trees from which the apples were now gathering.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000003_000004.wav,2412,American,Glass was plentiful in the better houses.,Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000006_000000.wav,2412,American,"When we had got past the village the fog rose, and revealed magnificent views of the snowy mountains and their nearer abutments, while in front I could now and again catch glimpses of the great plains which I had surveyed on the preceding evening.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000006_000002.wav,2412,American,"Goats were abundant; also a kind of small black cattle, in the marshes near the river, which was now fast widening, and running between larger flats from which the hills receded more and more.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000012_000005.wav,2412,American,"As I said before, all were marred and broken.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000006_000003.wav,2412,American,"I saw a few sheep with rounded noses and enormous tails. Dogs were there in plenty, and very English; but I saw no cats, nor indeed are these creatures known, their place being supplied by a sort of small terrier.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000010_000000.wav,2412,American,"I remember that when they first found it I had thought of Paley, and how he tells us that a savage on seeing a watch would at once conclude that it was designed.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000001_000000.wav,2412,American,CHAPTER seven: FIRST IMPRESSIONS,Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000004_000005.wav,2412,American,"Even in middle age they were still comely, and the old grey haired women at their cottage doors had a dignity, not to say majesty, of their own.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000004_000004.wav,2412,American,"I was dazzled as I saw one after the other, of whom I could only feel that each was the loveliest I had ever seen.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000009_000003.wav,2412,American,They seemed concerned and uneasy as soon as they got hold of it.,Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000004_000000.wav,2412,American,"Lastly, I should say that the people were of a physical beauty which was simply amazing.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000004_000001.wav,2412,American,"I never saw anything in the least comparable to them. The women were vigorous, and had a most majestic gait, their heads being set upon their shoulders with a grace beyond all power of expression. Each feature was finished, eyelids, eyelashes, and ears being almost invariably perfect.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000009_000002.wav,2412,American,"But by and by they came to my watch, which I had hidden away in the inmost pocket that I had, and had forgotten when they began their search.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000004_000003.wav,2412,American,"Their expression was divine; and as they glanced at me timidly but with parted lips in great bewilderment, I forgot all thoughts of their conversion in feelings that were far more earthly.",Unknown
data/audio/processed/libritts/2412_153954_2412_153954_000004_000002.wav,2412,American,"Their colour was equal to that of the finest Italian paintings; being of the clearest olive, and yet ruddy with a glow of perfect health.",Unknown
