file_path,speaker_id,accent,transcription,gender
data/audio/processed/libritts/2428_83699_2428_83699_000013_000004.wav,2428,American,That is a fact.,Unknown
data/audio/processed/libritts/7976_105575_7976_105575_000007_000003.wav,7976,American,"Not Balaklava, nor the Alma, saw such fighting.",Unknown
data/audio/processed/libritts/6345_93302_6345_93302_000060_000000.wav,6345,American,"""You know I do,"" he said; ""it was hateful of me-but I couldn't help it.""",Unknown
data/audio/processed/libritts/2035_147960_2035_147960_000005_000018.wav,2035,American,I felt seasick.,Unknown
data/audio/processed/libritts/5338_284437_5338_284437_000026_000001.wav,5338,American,"That is her name, and it is sufficient,"" said the woman.",Unknown
data/audio/processed/libritts/8297_275156_8297_275156_000005_000000.wav,8297,American,"""no""",Unknown
data/audio/processed/libritts/3170_137482_3170_137482_000063_000001.wav,3170,American,"There is also another consideration, dear reader, and as I love you I will tell you what it is.",Unknown
data/audio/processed/libritts/1462_170145_1462_170145_000035_000000.wav,1462,American,"She looked up into his eyes, and hid her face in her hands.",Unknown
data/audio/processed/libritts/1993_147965_1993_147965_000007_000000.wav,1993,American,At nine o'clock mr Shimerda lighted one of our lanterns and put on his overcoat and fur collar.,Unknown
data/audio/processed/libritts/7850_111771_7850_111771_000005_000006.wav,7850,American,"I propose to move upon your works at once."" The fall of Fort Donelson and the capture of its garrison being the first substantial victory that had crowned the Union cause, together with the above described answer to General Buckner, brought the name of General Grant prominently before the country.",Unknown
data/audio/processed/libritts/6313_66129_6313_66129_000077_000000.wav,6313,American,"""I will,"" replied Chunky, confidently.",Unknown
data/audio/processed/libritts/3000_15664_3000_15664_000038_000002.wav,3000,American,In the number and size of its big spring fountains it excels even Shasta.,Unknown
data/audio/processed/libritts/6295_244435_6295_244435_000038_000003.wav,6295,American,"This was not the fashion of a year ago, when they exchanged a friendly word or two, but Harry knew its cause.",Unknown
data/audio/processed/libritts/1462_170142_1462_170142_000040_000003.wav,1462,American,"I can't see you at all, anywhere.",Unknown
data/audio/processed/libritts/8297_275156_8297_275156_000021_000003.wav,8297,American,"Besides, looking to Catherine's interest-and not forgetting how she had suffered-had Randal any right to regard with other than friendly feelings a second marriage, which united her to a man morally and intellectually the superior of her first husband?",Unknown
data/audio/processed/libritts/3752_4944_3752_4944_000080_000001.wav,3752,American,"I have seen him, and his condition of mind is pitiable.""",Unknown
